CisBP_ID	PDB_ID	CisBP_BS_len	PDB_BS_len	Offset	P-value
M1383_1.02	1msf_1C	8	11	-1	0.463205
M0957_1.02	1ig7_1A	8	13	-2	0.196515
M1543_1.02	5x21_1D	9	13	-4	0.410814
M0342_1.02	1t2k_1D	11	15	0	0.333395
M0709_1.02	4iri_1A	10	12	0	8.17394e-05
M1471_1.02	3cbb_1A	12	20	0	0.280677
M0820_1.02	5mpf_1B	9	12	-1	0.392806
M1059_1.02	1nk2_1P	10	14	-2	0.000956909
M0519_1.02	4r2r_1A	10	10	-2	0.113155
M0091_1.02	4ux5_1B	8	14	-4	0.000159468
M1206_1.02	3lnq_1A	8	14	-4	0.241607
M0710_1.02	4bnc_1A	10	10	1	6.03327e-05
M1634_1.02	1h6f_1B	10	18	-6	0.000134233
M0672_1.02	1cf7_1A	10	15	-2	0.926869
M1637_1.02	1xbr_1A	12	19	1	0.440337
M0676_1.02	1cf7_1A	10	15	-2	0.117074
M1185_1.02	3a01_1F	10	17	-1	0.131565
M0692_1.02	1hbx_1G	10	25	-14	0.000794328
M1054_1.02	3rkq_1A	9	17	0	0.0881794
M0027_1.02	1gcc_1A	10	11	0	0.274677
M1169_1.02	5zjt_1E	10	10	8	0.9925
M1074_1.02	1lfu_1P	10	14	-4	0.00275339
M1208_1.02	4xrm_1B	9	16	-6	0.0447296
M0471_1.02	5kea_1A	8	10	0	0.0975238
M0329_1.02	1dh3_1C	8	19	4	0.94305
M0073_1.02	1gcc_1A	10	11	0	0.233247
M1627_1.02	4s0h_1E	8	18	-9	0.609562
M0511_1.02	6blw_1A	10	16	-1	0.0123639
M0086_1.02	4ux5_1B	10	14	-3	0.0329262
M1368_1.02	1w0t_1B	8	18	-2	0.0198808
M0472_1.02	5kea_1A	10	10	2	0.745397
M0759_1.02	5gat_1A	8	13	-2	0.679654
M0668_1.02	1cf7_1A	10	15	-2	0.978804
M1721_1.02	1hwt_1D	10	19	-6	0.725497
M0588_1.02	5fd3_1A	8	10	0	0.543491
M0158_1.02	5gnj_1F	8	13	-1	0.315129
M0248_1.02	1am9_1B	10	24	-3	0.878765
M0012_1.02	1gcc_1A	10	11	2	0.211534
M0995_1.02	2me6_1A	7	14	-3	0.0167683
M0693_1.02	1awc_1A	10	20	-2	0.000428929
M0799_1.02	3dfx_1B	10	17	-7	0.10568
M1166_1.02	1fjl_1A	8	14	-1	0.312734
M0724_1.02	2a07_1F	8	19	-3	0.101209
M1238_1.02	2xsd_1C	9	10	0	0.113666
M0042_1.02	1gcc_1A	10	11	0	0.424852
M0701_1.02	1yo5_1C	10	13	-1	8.5055e-07
M0007_1.02	1gcc_1A	9	11	0	0.0349852
M1210_1.02	4xrm_1B	10	16	-6	0.0810557
M0841_1.02	3a01_1B	8	17	-11	0.998741
M0610_1.02	6asd_1C	9	12	0	0.999568
M1003_1.02	1puf_1A	10	19	-7	0.0170065
M0006_1.02	1gcc_1A	10	11	-3	0.697178
M0850_1.02	4cyc_1A	11	13	-2	0.297123
M1656_1.02	3jby_1C	10	14	-1	0.194698
M0054_1.02	5xfq_1A	9	12	-4	0.574311
M0755_1.02	1vtn_1C	9	13	-5	0.0113029
M0246_1.02	1an4_1B	9	20	-4	5.72974e-05
M0964_1.02	1ahd_1P	8	14	-4	0.000916441
M0335_1.02	1gd2_1E	10	12	0	0.0181306
M1188_1.02	1ig7_1A	9	13	-2	0.0795003
M0412_1.02	2gli_1A	10	20	-1	0.482906
M0076_1.02	1gcc_1A	8	11	-1	0.0100581
M0334_1.02	5vpe_1D	8	9	-2	0.296275
M1235_1.02	1cqt_1A	8	14	-5	0.702412
M0600_1.02	5fd3_1A	8	10	5	0.381974
M1658_1.02	1rio_1B	8	24	-13	0.0599826
M0281_1.02	1h89_1B	15	16	-1	0.0559123
M0750_1.02	6ako_1C	10	16	-4	0.00615628
M0447_1.02	5kkq_1A	10	17	-1	0.613778
M1479_1.02	4iqr_2F	10	17	-9	0.966582
M1693_1.02	2lex_1A	10	10	0	0.00366939
M1311_1.02	1vfc_1A	8	13	-4	0.450902
M1411_1.02	3swp_1A	10	15	-6	0.672928
M0846_1.02	3hdd_1A	10	19	-9	0.921106
M0487_1.02	2i13_1B	10	18	-1	0.497217
M0534_1.02	2jpa_1A	8	14	-12	0.722203
M0058_1.02	1nk2_1P	8	14	2	0.195176
M1636_1.02	4s0h_1A	9	19	1	0.219919
M0683_1.02	3a01_1A	11	17	-3	0.98479
M1539_1.02	5v8f_12	10	16	-8	0.529807
M0382_1.02	1llm_1D	10	12	-7	0.898948
M0465_1.02	6b0r_1A	8	14	-5	0.0706091
M0744_1.02	2c6y_1A	8	15	-3	0.00834686
M1316_1.02	3sjm_1B	8	17	-1	0.17214
M1254_1.02	5d5x_1B	8	13	-3	0.973711
M0293_1.02	2e42_1B	10	15	-2	0.341647
M1728_1.02	2er8_1A	10	12	1	0.242705
M1315_1.02	5lxu_1A	8	9	0	0.0977911
M0014_1.02	1gcc_1A	9	11	0	0.353207
M1598_1.02	2lef_1A	8	15	-4	0.00516791
M0736_1.02	2c6y_1A	8	15	-3	0.00594417
M0567_1.02	2i13_1B	9	18	-1	0.773727
M1464_1.02	4cn3_1D	10	14	4	0.398653
M1567_1.02	5vmv_1A	9	18	-1	0.952887
M1446_1.02	1lo1_1A	10	13	-2	0.00160678
M0674_1.02	1cf7_1A	10	15	-2	0.309805
M0792_1.02	5gat_1A	8	13	-2	0.0774767
M1791_1.02	3coq_1B	10	19	-7	0.82676
M0207_1.02	2ypa_1B	9	11	0	0.00425584
M1396_1.02	1iv6_1A	9	13	0	0.000619428
M0222_1.02	1hlo_1A	9	11	-2	0.000700299
M0386_1.02	2gli_1A	10	20	-4	0.938325
M0577_1.02	1hlv_1A	8	21	-16	0.999802
M0882_1.02	3a01_1F	11	17	0	0.012379
M0263_1.02	1t2k_1D	10	15	-1	0.130468
M1022_1.02	1fjl_1A	8	14	-1	0.497884
M0974_1.02	1ic8_1B	9	20	0	0.0518859
M0303_1.02	2wt7_1A	10	15	-4	0.415371
M1689_1.02	2lex_1A	8	10	-1	0.00625692
M0492_1.02	6e94_1A	10	18	0	0.906363
M1042_1.02	4s0h_1F	9	8	2	0.413259
M0958_1.02	5hod_1A	7	16	-9	0.0077757
M0226_1.02	1nkp_1E	8	8	-4	0.972661
M0646_1.02	2drp_1A	8	18	-7	0.000159699
M1822_1.02	1hwt_1D	10	19	-8	0.857565
M1382_1.02	3osg_1A	10	12	-2	0.0636791
M0194_1.02	2ql2_1B	10	16	-3	0.00315314
M1262_1.02	2irf_1L	9	21	-10	0.059195
M1287_1.02	6c6t_1J	8	13	-3	0.9929
M1804_1.02	1hwt_1H	7	13	0	0.84926
M0635_1.02	4yj0_1B	13	22	-9	1.0
M0802_1.02	5gat_1A	8	13	-2	0.128395
M1304_1.02	3sjm_1B	8	17	-1	0.284087
M1821_1.02	1f5e_1P	8	10	-3	0.348475
M1201_1.02	3a01_1B	8	17	-3	0.0126309
M1640_1.02	1h6f_1B	8	18	-7	0.000609334
M1518_1.02	2as5_1N	10	16	2	0.0533275
M1602_1.02	1j46_1A	10	14	0	0.251152
M1120_1.02	6a8r_1B	11	9	3	0.178124
M0037_1.02	1gcc_1A	10	11	0	0.0424154
M1015_1.02	5hod_1A	7	16	-9	0.00213452
M0459_1.02	2i13_1B	10	18	-5	0.952233
M0965_1.02	4xrm_1B	9	16	-6	0.000539491
M1408_1.02	3swp_1A	10	15	1	0.97432
M0537_1.02	2i13_1A	10	21	0	0.0551233
M0678_1.02	1cf7_1A	10	15	-2	0.248833
M0842_1.02	3hdd_1A	10	19	-4	0.623141
M1199_1.02	2me6_1A	10	14	-1	0.0017448
M1818_1.02	1hwt_1D	10	19	-4	0.647127
M0227_1.02	1nkp_1B	8	18	-5	0.0879354
M0720_1.02	3g73_1B	8	17	-1	0.0293984
M0020_1.02	1gcc_1A	8	11	-1	0.00291542
M0444_1.02	5wjq_1D	9	28	-13	0.298495
M0191_1.02	4atk_1B	10	16	-3	0.00130224
M1047_1.02	2lkx_1A	9	13	1	0.1656
M0443_1.02	5ke7_1A	10	10	0	0.0136335
M1607_1.02	1j5n_1A	10	15	-1	0.122468
M1130_1.02	1mnm_1D	8	13	0	0.278054
M0631_1.02	4yj0_1B	8	22	-14	1.0
M0747_1.02	6ako_1C	10	16	-3	0.00226067
M0716_1.02	3g73_1B	9	17	0	0.0320079
M1034_1.02	2me6_1A	7	14	-3	0.143093
M1701_1.02	2lex_1A	8	10	-2	0.00494529
M1819_1.02	1hwt_1D	10	19	-4	0.756517
M0665_1.02	4yo2_1A	10	15	-2	0.00585573
M0817_1.02	1odh_1A	8	13	-2	0.000149532
M0283_1.02	5zko_1C	8	20	-6	0.527055
M1387_1.02	1h88_1C	10	19	-11	0.991281
M0441_1.02	2gli_1A	10	20	-1	0.456885
M0476_1.02	2i13_1B	10	18	-6	0.774524
M1503_1.02	3zkc_1B	10	17	0	0.157538
M0942_1.02	6fqp_1B	8	16	-1	0.760115
M1084_1.02	3a01_1B	10	17	-6	0.343718
M0057_1.02	3wtv_1F	8	17	-6	0.594463
M0552_1.02	2i13_1B	8	18	-6	0.98378
M0325_1.02	3a5t_1B	9	15	-6	0.35602
M1302_1.02	1vfc_1A	10	13	-2	0.0216071
M1329_1.02	1msf_1C	8	11	-2	0.3411
M0689_1.02	3zp5_1A	10	10	-1	2.10553e-05
M1083_1.02	3a01_1F	9	17	-1	0.0128455
M1466_1.02	2ff0_1A	8	15	-7	0.206579
M0356_1.02	1gd2_1F	10	12	0	0.131043
M1127_1.02	2hdd_1B	10	13	1	0.732754
M0198_1.02	1nlw_1E	10	12	7	0.928353
M0262_1.02	1t2k_1D	10	15	2	0.202284
M1071_1.02	2h1k_1B	8	14	-2	0.789581
M1731_1.02	3coq_1B	8	19	-11	0.836188
M0156_1.02	5gnj_1F	10	13	-2	0.886252
M0983_1.02	3a01_1E	8	13	-4	0.985695
M0164_1.02	5gnj_1F	10	13	-2	0.747336
M0826_1.02	1mnm_1D	10	13	-1	0.979649
M0934_1.02	2h8r_1B	8	19	-11	0.011917
M0438_1.02	5v3m_1C	8	28	-15	0.550141
M0752_1.02	2c6y_1B	10	15	-6	0.152574
M1344_1.02	1vfc_1A	10	13	-3	0.00974203
M1355_1.02	1h88_1C	9	19	-9	0.0738517
M1349_1.02	1h88_1C	10	19	-10	0.822073
M1251_1.02	5d5v_1D	8	12	3	0.436183
M1101_1.02	3a01_1B	9	17	-2	0.126418
M1219_1.02	2h1k_1B	8	14	-4	0.573147
M0917_1.02	2ld5_1A	9	11	-5	0.607493
M1771_1.02	1f5e_1P	9	10	-3	0.956132
M1306_1.02	1h8a_1C	10	19	0	0.145702
M1097_1.02	5hod_1A	10	16	-7	0.107783
M1472_1.02	4nqa_1A	8	16	1	0.116729
M0431_1.02	2i13_1A	9	21	-16	0.786302
M1786_1.02	1zme_1D	9	16	2	0.251698
M1594_1.02	3u2b_1C	10	16	-5	0.00120694
M0915_1.02	1ahd_1P	8	14	-4	0.0547888
M0184_1.02	2ypa_1B	9	11	-1	0.0193244
M1221_1.02	2me6_1A	10	14	-2	0.919221
M0214_1.02	2ypa_1A	9	11	-1	0.000207892
M1025_1.02	1b72_1A	8	18	-8	0.00123989
M1241_1.02	2xsd_1C	8	10	-1	0.0148565
M0847_1.02	2lkx_1A	10	13	-3	0.0947016
M0938_1.02	1lfu_1P	11	14	-2	0.00367326
M1283_1.02	5w64_2B	8	14	-1	0.142587
M1359_1.02	3wgi_1D	10	13	6	0.99442
M0830_1.02	5zjt_1E	9	10	-3	0.899782
M1099_1.02	2lkx_1A	9	13	-3	0.000102595
M1426_1.02	5krb_1G	9	16	-6	0.119449
M0811_1.02	1odh_1A	10	13	-2	0.000876423
M1766_1.02	1hwt_1D	10	19	0	0.911124
M0477_1.02	5kl4_1A	9	10	3	0.755368
M1370_1.02	1h88_1C	9	19	-7	0.512678
M1279_1.02	5k5h_1A	10	12	-3	0.99764
M0978_1.02	1fjl_1A	8	14	-1	0.653749
M0493_1.02	2i13_1A	8	21	-9	0.0204394
M1048_1.02	2lkx_1A	8	13	0	0.0897072
M1091_1.02	1jgg_1B	9	10	2	0.121479
M0210_1.02	1mdy_1A	9	19	-2	0.00506642
M0795_1.02	5gat_1A	8	13	-2	0.103021
M1769_1.02	1d66_1B	10	19	-9	0.0485827
M1089_1.02	4rdu_1D	10	12	0	0.426269
M0865_1.02	5hod_1A	10	16	-8	0.684467
M1193_1.02	3lnq_1A	8	14	-4	0.00696179
M1639_1.02	1h6f_1B	10	18	-6	0.000240853
M0807_1.02	5gat_1A	8	13	-3	0.043325
M0026_1.02	1gcc_1A	10	11	0	0.333697
M1407_1.02	3swp_1A	9	15	-5	0.812895
M0813_1.02	1odh_1A	10	13	0	0.00599902
M1425_1.02	1lat_1B	10	18	-11	0.920454
M1547_1.02	5oa1_1V	7	8	-1	0.972431
M0451_1.02	2kmk_1A	10	16	-2	9.80553e-05
M1057_1.02	1du0_1B	10	14	-5	0.647123
M1633_1.02	5t1j_1B	10	19	-3	0.00556997
M0538_1.02	1llm_1C	8	12	-1	0.854647
M1451_1.02	4nqa_1A	8	16	1	0.00310216
M0536_1.02	2i13_1B	10	18	1	0.821154
M0170_1.02	2ypb_1A	8	11	-2	0.327916
M1580_1.02	4euw_1A	8	12	-1	0.0453329
M1520_1.02	2as5_1N	10	16	2	0.0562932
M0546_1.02	2i13_1A	8	21	-17	0.472295
M1336_1.02	3sjm_1B	10	17	0	0.638286
M0690_1.02	4bnc_1A	10	10	1	7.8645e-05
M0180_1.02	5nj8_1D	10	22	-12	0.232755
M0789_1.02	3dfx_1B	10	17	-8	0.25344
M0558_1.02	2i13_1B	8	18	-3	0.710491
M0257_1.02	1t2k_1D	11	15	-3	0.221917
M1406_1.02	3swp_1D	10	21	-6	0.787814
M1331_1.02	5lxu_1A	10	9	2	0.000487431
M0163_1.02	1am9_1B	10	24	-13	0.980527
M1776_1.02	1pyi_1B	9	14	-5	0.000388973
M0715_1.02	6ako_1C	8	16	-6	0.00192038
M1595_1.02	3f27_1D	9	16	-6	0.000334979
M0576_1.02	6e8c_1A	9	17	2	0.190082
M0075_1.02	1gcc_1A	8	11	-1	0.180553
M0256_1.02	1dh3_1C	13	19	-4	0.73842
M0377_1.02	5yj3_1C	7	11	0	0.0878431
M0038_1.02	1gcc_1A	10	11	1	0.00506548
M1482_1.02	3cbb_1B	8	19	-10	0.354426
M0398_1.02	5v3m_1C	11	28	-18	0.513436
M0591_1.02	5fd3_1A	10	10	5	0.349497
M1119_1.02	2me6_1A	10	14	-2	0.0283422
M0388_1.02	2i13_1B	10	18	-6	0.865015
M0518_1.02	1p47_1B	10	19	3	0.38132
M1789_1.02	1hwt_1G	10	9	-1	0.733077
M0243_1.02	1a0a_1B	9	17	-1	0.0675077
M1388_1.02	1vfc_1A	9	13	-4	0.0378025
M1711_1.02	3coq_1B	9	19	-10	0.0817643
M0797_1.02	5gat_1A	10	13	0	0.0629961
M0831_1.02	5zjt_1E	8	10	-3	0.846256
M0839_1.02	6fqq_1D	10	16	-6	0.249919
M0580_1.02	6dfy_1D	10	11	5	0.706647
M1343_1.02	1h8a_1C	9	19	-10	0.230909
M1327_1.02	5lxu_1A	10	9	1	0.00122496
M0874_1.02	1hdd_1D	8	13	-9	0.354481
M0723_1.02	6ako_1C	10	16	-4	0.0127951
M0286_1.02	5zko_1C	9	20	-11	0.422475
M0105_1.02	1kqq_1A	9	15	-4	0.295397
M1070_1.02	2r5z_1A	9	19	-8	0.0162662
M1319_1.02	1h8a_1C	11	19	-7	0.293798
M0988_1.02	6fqp_1B	7	16	-1	0.744478
M1303_1.02	3osg_1A	9	12	0	0.32518
M0436_1.02	5wjq_1D	10	28	-10	0.808362
M0225_1.02	1an4_1B	10	20	-5	0.00186853
M0848_1.02	2me6_1A	8	14	-3	0.312571
M1755_1.02	1zme_1D	8	16	2	0.588836
M1521_1.02	2as5_1N	10	16	2	0.0550199
M0822_1.02	4xrm_1B	10	16	-4	0.864072
M1073_1.02	2h1k_1B	9	14	-1	0.351146
M1021_1.02	4xrm_1B	9	16	-6	0.000746314
M0828_1.02	6fqq_1D	10	16	0	0.013494
M0423_1.02	2i13_1B	8	18	-5	0.839868
M0474_1.02	4r2r_1A	10	10	-2	0.0880964
M0738_1.02	6ako_1C	8	16	-6	0.00238568
M0221_1.02	1nkp_1B	9	18	-5	0.00563475
M1216_1.02	2ld5_1A	10	11	6	0.992643
M0806_1.02	3dfx_1B	8	17	-6	0.348444
M0391_1.02	2i13_1A	12	21	-2	0.0682369
M0898_1.02	2lkx_1A	8	13	-8	0.989805
M1000_1.02	3a01_1F	8	17	-2	0.00431962
M0200_1.02	4h10_1B	10	14	-2	0.00210266
M0613_1.02	5w9q_1A	8	12	-1	0.600267
M1322_1.02	1vfc_1A	11	13	-3	0.900515
M0404_1.02	5wjq_1D	10	28	-18	0.15411
M0696_1.02	3jtg_1A	10	15	-4	0.000721522
M0161_1.02	5gnj_1B	10	13	-2	0.125009
M1413_1.02	3swp_1A	11	15	2	0.242218
M1820_1.02	1f5e_1P	7	10	-3	0.549412
M1519_1.02	1imh_1D	10	13	7	0.9854
M1380_1.02	2kdz_1A	10	16	-4	0.23125
M0422_1.02	2gli_1A	10	20	-6	0.0194921
M1463_1.02	4iqr_2F	10	17	-4	0.556643
M1291_1.02	5eyb_1A	10	25	-6	0.133381
M0926_1.02	4rbo_1D	9	12	5	0.761396
M1367_1.02	1h8a_1C	10	19	-11	0.262025
M0735_1.02	2uzk_1A	10	13	-2	0.00212846
M1086_1.02	1nk3_1P	8	13	-3	0.00130937
M0266_1.02	1ysa_1D	9	17	-9	0.816288
M1094_1.02	2r5z_1A	10	19	-7	0.191859
M0564_1.02	2i13_1A	9	21	-11	0.226691
M1735_1.02	6e33_1A	10	19	-6	0.00497024
M0784_1.02	4hc7_1A	9	18	-8	0.00334748
M1751_1.02	3coq_1B	7	19	-11	0.99981
M1212_1.02	1hf0_1B	11	21	4	0.459174
M0017_1.02	1gcc_1A	8	11	-1	0.200993
M1040_1.02	2h1k_1B	9	14	-1	0.29609
M0018_1.02	1gcc_1A	10	11	1	0.0319111
M0745_1.02	2c6y_1B	10	15	-6	0.0808465
M0008_1.02	1gcc_1A	8	11	-5	0.851135
M1488_1.02	4iqr_2F	10	17	-8	0.701862
M1232_1.02	5wc9_1A	9	17	-1	0.238372
M1020_1.02	3a01_1F	8	17	-2	0.0100319
M0880_1.02	3rkq_1A	8	17	1	0.163555
M0699_1.02	5jvt_1A	10	19	-1	0.00963478
M0570_1.02	5kea_1A	8	10	1	0.311791
M0516_1.02	5ei9_1F	12	17	-9	0.175094
M0788_1.02	5gat_1A	10	13	-1	0.0905268
M0445_1.02	2gli_1A	10	20	-12	0.660172
M0641_1.02	4yj0_1B	10	22	-12	1.0
M1593_1.02	4y60_1C	8	15	-5	0.00409501
M0274_1.02	1h88_1B	9	16	-2	0.00736581
M0316_1.02	2e42_1A	10	15	-4	0.164114
M0005_1.02	1gcc_1A	8	11	-1	0.0204583
M0097_1.02	4ux5_1B	9	14	-3	0.243909
M0450_1.02	2i13_1A	7	21	-13	0.43753
M1792_1.02	3coq_1B	7	19	-11	0.0360303
M1092_1.02	5hod_1A	10	16	-6	0.269105
M0392_1.02	5ke7_1A	9	10	1	0.0961145
M0967_1.02	1fjl_1A	8	14	-1	0.376215
M1813_1.02	2er8_1A	9	12	-6	0.159295
M0878_1.02	6a8r_1B	8	9	1	0.872042
M1273_1.02	2irf_1L	10	21	-10	0.765245
M1632_1.02	5t1j_1B	10	19	-2	0.00490617
M1444_1.02	1hcq_1A	10	16	0	0.0101132
M0278_1.02	1dh3_1C	9	19	-4	0.576743
M0089_1.02	4ux5_1B	7	14	-4	0.000244992
M0524_1.02	1a1h_1A	10	10	0	0.569799
M1391_1.02	1vfc_1A	10	13	1	0.0106302
M1556_1.02	5zd4_1B	10	14	2	0.0268269
M0810_1.02	1odh_1A	9	13	-1	0.000154121
M1252_1.02	5d8l_1H	9	25	0	0.7369
M0800_1.02	3dfx_1B	10	17	-5	0.387031
M0586_1.02	2d5v_1B	9	20	-9	0.109847
M0727_1.02	6ako_1C	9	16	-6	0.0115219
M0931_1.02	5hod_1A	9	16	-9	0.333441
M0430_1.02	5eh2_1F	10	19	1	0.817007
M0469_1.02	2i13_1A	10	21	-3	0.810285
M0644_1.02	4yj0_1B	10	22	-12	1.0
M0416_1.02	4r2d_1A	10	10	1	0.00392128
M1173_1.02	1fjl_1A	8	14	-1	0.0635274
M0265_1.02	1dh3_1C	10	19	-6	0.359607
M0916_1.02	1jgg_1B	8	10	2	0.119867
M0885_1.02	1fjl_1A	7	14	-2	0.211242
M0183_1.02	4h10_1A	9	14	-3	0.0387045
M0574_1.02	2mf8_1A	8	13	-4	0.00718859
M1710_1.02	6e33_1A	8	19	-8	0.0649318
M0013_1.02	1gcc_1A	8	11	-5	0.815534
M0551_1.02	2i13_1A	8	21	-3	0.881998
M0305_1.02	1dh3_1C	9	19	4	0.917816
M0353_1.02	1dh3_1C	10	19	-7	0.538885
M0969_1.02	1fjl_1A	9	14	-1	0.513656
M1001_1.02	4xrm_1B	10	16	-6	0.00184929
M1489_1.02	3cbb_1B	12	19	-5	0.366967
M0482_1.02	5vmx_1A	10	18	-4	0.686542
M1102_1.02	1ig7_1A	9	13	-2	0.021129
M0093_1.02	4ux5_1B	8	14	-4	0.00223558
M1364_1.02	5lxu_1A	10	9	1	0.048503
M1654_1.02	4ux5_1B	8	14	-2	0.678651
M0890_1.02	5hod_1A	8	16	-8	0.158679
M1090_1.02	1ig7_1A	9	13	-2	0.05228
M1747_1.02	3coq_1B	11	19	-10	0.378315
M1783_1.02	1pyi_1B	9	14	-6	0.000153466
M1009_1.02	1ahd_1P	9	14	-3	0.000934896
M1828_1.02	1zme_1D	7	16	-10	0.695266
M0468_1.02	2i13_1B	10	18	-6	0.564356
M0925_1.02	3d1n_1O	10	11	6	0.471802
M0698_1.02	4uno_1A	9	9	0	5.68777e-05
M0870_1.02	3a01_1F	10	17	-1	0.0148986
M0446_1.02	5k5h_1A	10	12	-2	0.968379
M0208_1.02	4ati_1B	10	16	-4	0.0142016
M0113_1.02	1kqq_1A	8	15	0	0.9447
M0742_1.02	1vtn_1C	11	13	-4	0.0248284
M1438_1.02	6fbq_1B	10	16	-6	0.000200286
M1209_1.02	1ig7_1A	8	13	-3	0.0818703
M0722_1.02	6ako_1C	8	16	-6	0.00339842
M0687_1.02	3jtg_1A	10	15	-4	0.000184615
M0630_1.02	4yj0_1B	10	22	-12	1.0
M0527_1.02	5kl4_1A	8	10	-2	0.592433
M1648_1.02	6gmh_1B	10	14	5	0.562487
M0102_1.02	2oeh_1A	8	14	-6	0.304395
M1722_1.02	3coq_1B	9	19	-10	0.10641
M0562_1.02	2i13_1B	8	18	-1	0.794458
M1126_1.02	4xrm_1B	12	16	-5	0.113519
M1301_1.02	3c2i_1A	10	19	-6	0.60363
M1785_1.02	1hwt_1H	10	13	-6	0.800295
M1018_1.02	2h1k_1A	7	14	-5	0.184902
M0362_1.02	1t2k_1D	9	15	-2	0.143012
M1060_1.02	1nk2_1P	10	14	-3	0.000135011
M1469_1.02	5uan_1B	8	17	-1	0.00485171
M0312_1.02	5vpf_1B	8	18	-4	0.0118453
M0901_1.02	5zjr_1B	8	14	-4	0.854047
M1578_1.02	3u2b_1C	8	16	-4	0.00561984
M1354_1.02	1h88_1C	10	19	-9	0.165131
M1681_1.02	2lex_1A	8	10	-2	0.00393164
M1150_1.02	4xrm_1B	8	16	-7	0.0263236
M0470_1.02	1tf3_1A	10	15	-8	0.502328
M0766_1.02	5gat_1A	10	13	-5	0.585407
M0837_1.02	3d1n_1L	9	15	-6	0.657215
M1756_1.02	3coq_1B	8	19	-12	0.188754
M1631_1.02	4a04_1A	10	18	-2	2.151e-05
M1154_1.02	3a01_1B	8	17	-3	0.0565165
M0279_1.02	3a5t_1B	10	15	-5	0.972986
M1527_1.02	6gym_1X	10	15	-9	0.9874
M0090_1.02	4ux5_1B	9	14	-2	9.66147e-06
M1800_1.02	3coq_1B	10	19	-8	0.0867956
M1834_1.02	3coq_1B	10	19	-9	0.00986631
M0424_1.02	2i13_1A	10	21	0	0.940417
M0556_1.02	2i13_1B	8	18	0	0.991935
M0840_1.02	6fqp_1B	10	16	-6	3.39144e-05
M1250_1.02	5d8l_1H	10	25	-11	0.767257
M0515_1.02	5ei9_1E	11	20	-8	0.107445
M0242_1.02	1a0a_1B	10	17	-2	0.0944297
M0939_1.02	2me6_1A	10	14	-2	0.0350892
M1100_1.02	1lfu_1P	10	14	-5	0.376375
M1133_1.02	6a8r_1B	9	9	1	0.290877
M1255_1.02	5d5x_1B	10	13	3	0.985442
M1050_1.02	1lfu_1P	9	14	-1	0.310477
M0230_1.02	5i50_1A	9	22	1	0.993769
M0245_1.02	1an4_1B	8	20	-5	0.000267697
M0282_1.02	1dh3_1C	9	19	2	0.534081
M0705_1.02	4mhg_1A	10	13	0	0.00027567
M1418_1.02	6m7j_1J	8	21	-11	0.855536
M1261_1.02	2irf_1L	10	21	-9	0.595879
M1031_1.02	4rdu_1D	9	12	5	0.742278
M1005_1.02	3a01_1F	8	17	-2	0.0111953
M1586_1.02	3f27_1D	9	16	-6	0.0214995
M1749_1.02	3coq_1B	10	19	-10	0.0496011
M1612_1.02	1j5n_1A	10	15	7	0.730444
M0975_1.02	5hod_1A	9	16	-9	0.461987
M0922_1.02	4xrm_1B	8	16	-6	6.36207e-05
M0883_1.02	3a01_1F	11	17	0	0.105986
M0619_1.02	6asb_1C	12	16	-5	0.453316
M1667_1.02	2l1g_1A	8	16	-6	0.965672
M1440_1.02	3dzy_1A	8	15	-7	0.0201939
M1376_1.02	1iv6_1A	8	13	-1	0.00036165
M1579_1.02	2lef_1A	9	15	-5	0.0709394
M0034_1.02	1gcc_1A	8	11	-1	0.30856
M0845_1.02	5zjt_1A	10	14	3	0.0914001
M1191_1.02	2me6_1A	9	14	-2	0.0206434
M0533_1.02	1jk2_1A	8	10	1	0.806159
M0941_1.02	2lkx_1A	9	13	-3	4.04823e-05
M0798_1.02	5gat_1A	8	13	-2	0.141512
M0136_1.02	2gzk_1A	10	16	6	0.570177
M1770_1.02	1f5e_1P	9	10	-2	0.991762
M0331_1.02	1gd2_1F	10	12	0	0.00234508
M0571_1.02	5yj3_1C	12	11	-1	0.437051
M0945_1.02	4j19_1B	8	18	-4	0.163856
M1768_1.02	1hwt_1D	9	19	0	0.933286
M1203_1.02	1ig7_1A	10	13	-1	0.281989
M0664_1.02	5ola_1F	8	12	0	0.315733
M1704_1.02	2lex_1A	9	10	-1	0.00138184
M0775_1.02	7gat_1A	10	13	-1	0.0468964
M0617_1.02	6asd_1C	10	12	-3	0.99042
M1798_1.02	1zme_1D	10	16	-7	0.267049
M0829_1.02	5hod_1D	9	18	-10	0.473692
M1807_1.02	6e33_1A	9	19	-7	0.264958
M1727_1.02	1hwt_1G	12	9	8	0.565857
M0077_1.02	1gcc_1A	10	11	-1	0.572835
M0145_1.02	6akp_1C	8	16	1	0.28249
M1075_1.02	3lnq_1A	9	14	-7	0.744619
M0970_1.02	1fjl_1A	9	14	4	0.741212
M1275_1.02	3exj_1A	10	11	1	0.664304
M0309_1.02	1t2k_1D	10	15	-1	0.0658009
M0707_1.02	3mfk_1A	10	15	2	0.000887784
M0211_1.02	1a0a_1B	8	17	-3	0.000878781
M0036_1.02	1gcc_1A	10	11	0	0.0764015
M1377_1.02	1iv6_1A	10	13	-1	4.57036e-05
M0348_1.02	1dh3_1C	8	19	-4	0.873452
M1233_1.02	5wc9_1A	10	17	0	0.485446
M0774_1.02	7gat_1A	10	13	-3	0.816277
